Field,Value
"Daniel R. Carvalho,Gabe Black",1
"Daniel R. Carvalho,Giacomo Travaglini",1
"Daniel R. Carvalho,Matthew Poremba",1
"Daniel Sanchez,Steve Reinhardt",1
"Curtis Dunham,Andreas Sandberg",1
"Curtis Dunham,Glenn Bergmans",1
"Dam Sunwoo,Gene Wu",1
"Dam Sunwoo,Marco Elver",1
"Dam Sunwoo,Min Kyu Jeong",1
"Dan Gibson,Derek Hower",1
"Stephan Diestelhorst,David Guillen Fandos",1
"Steve Raasch,Erik Hallnor",1
"Steve Raasch,Nathan Binkert",1
"Ali Saidi,Matt Evans",1
"Ali Saidi,Min Kyu Jeong",1
"Ali Saidi,Nilay Vaish",1
"Andrea Mondelli,Andreas Sandberg",1
"Andrea Mondelli,Tuan Ta",1
"Brad Danofsky,Nathan Binkert",1
"Brandon Potter,Gabe Black",1
"Brandon Potter,Joe Gross",1
"BujSet,Matt Sinclair",1
"Chander Sudanthi,Daniel Johnson",1
"Chow, Marcus,Tony Gutierrez",1
"Chris Emmons,Ali Saidi",1
"Chris Emmons,Andreas Hansson",1
"Chris Emmons,Dam Sunwoo",1
"Ciro Santilli,Matthew Poremba",1
"Steve Reinhardt,Andrew Schultz",1
"Steve Reinhardt ext:(%2C%20Nilay%20Vaish%20%3Cnilay%40cs.wisc.edu%3E%2C%20Ali%20Saidi%20%3CAli.Saidi%40ARM.com%3E),Andreas Sandberg",1
"Tiago Muck,David Guillen Fandos",1
"Tiago Mück,Ayaz Akram",1
"Timothy Hayes,Mahyar Samani",1
"Timothy Hayes,Wendy Elsasser",1
"Tommaso Marinelli (imec),Tommaso Marinelli",1
"William Wang,Min Kyu Jeong",1
"Xiangyu Dong,Andreas Hansson",1
"Xianwei Zhang,Alexandru Dutu",1
"Xianwei Zhang,Tony Gutierrez",1
"Xiongfei,Hoa Nguyen",1
"Xuan Hu,Adrià Armejach",1
"Yen-lin Lai,Gabe Black",1
"Brad Beckmann,Joel Hestness",1
"Tony Gutierrez,Alexandru Dutu",1
"Tony Gutierrez,Blake Hechtman",1
"Alexandru Dutu,Michael LeBeane",1
"Ali Saidi,ARM gem5 Developers",1
"Ali Saidi,Koan-Sin Tan",1
"Tony Gutierrez,Chow, Marcus",1
"Tony Gutierrez,Matthew Poremba",1
"Tony Gutierrez,Michael LeBeane",1
,
Committer Timezone Distribution,Unique Timezones: 10
Timezone,Commits
+00:00,8773
+01:00,492
+02:00,117
+08:00,85
+09:00,4
-04:00,3283
-05:00,4370
-06:00,574
-07:00,3160
-08:00,1458
,
Contributors Experience,Average across 17677 files: 85.95%
File,Top Contributor Share (%)
base/intmath.h,100.00
base/kgdb.h,100.00
base/symtab.cc,100.00
base/symtab.hh,100.00
sim/base_cpu.cc,100.00
sim/base_cpu.hh,100.00
sim/cache/lzss_compression.cc,100.00
sim/cache/lzss_compression.hh,100.00
sim/cache/null_compression.hh,100.00
sim/exec_context.cc,100.00
