Field,Value
"MinRK,Brian Granger",1
"Min RK,v923z",1
"MinRK,Aaron Meurer",1
"Jeremy Tuloup,Kostya Farber",1
"Min RK,stuntgoat",1
"Jason Weill,Jeremy Tuloup",1
"Peter Parente,Carol Willing",1
"Pierre Gerold,Jonathan Frederic",1
"Paul Ivanov,Brian E. Granger",1
"Reece Hart,Steven Silvester",1
"Preston Holmes,Carl Karsten",1
"Norah Abanumay,韩韬",1
"Ioannis Papadopoulos,Michael Pacer",1
"Solaris,Kevin Bates",1
"Safia Abdalla,jdfreder",1
"Satrajit Ghosh,MinRK",1
"Scott Sanderson,Thomas Kluyver",1
"Safia Abdalla,Min RK",1
"Steven Silvester,dependabot[bot]",1
"Steven Silvester,Afshin Taylor Darian",1
"Steven Silvester,Kevin Bates",1
"Susan Tan,Matthias BUSSONNIER",1
"Steven Silvester,pre-commit-ci[bot]",1
"Sylvain Corlay,Min RK",1
"Sylvain Corlay,Brian Drawert",1
"Sylvain Corlay,MinRK",1
"Steven Silvester,michaelpacer",1
"Steven Silvester,Matthias Bussonnier",1
"Steven Silvester,Min RK",1
"Takafumi Arakaki,Brian Granger",1
"TPartida,Thomas Kluyver",1
"Sylvain Corlay,unknown",1
"Thomas Kluyver,Carol Willing",1
"Diogo Teles Sant'Anna,dependabot[bot]",1
"Thomas Kluyver,Fernando Perez",1
"RRosio,pre-commit-ci[bot]",1
"Puneeth Chaganti,MinRK",1
"Roy Hyunjin Han,Grant Nestor",1
"Rosa Swaby,Celina Kilcrease",1
"Robert Kern,Thomas Kluyver",1
"Grant Nestor,wordofglass",1
"Nicolas Brichet,brichet",1
"Jason Grout,Mathieu",1
"Grant Nestor,Roy Hyunjin Han",1
"Grant Nestor,Paul Ivanov",1
"Frédéric Collonval,Jeremy Tuloup",1
"Fernando Perez,Brian Granger",1
"Fernando Perez,Brian E. Granger",1
"Felix Werner,Fernando Perez",1
"Felix Mönckemeyer,David Lukes",1
"Doug Blank,Grant Nestor",1
"Doug Blank,MinRK",1
"Doug Hanley,Douglas Hanley",1
"David P. Sanders,Paul Ivanov",1
"Thomas Kluyver,Grant Nestor",1
"Tim Head,Min RK",1
"GitHub Action,Nicolas Brichet",1
"Thomas Kluyver,Steve (Gadget) Barnes",1
"Thomas Kluyver,Zachary Sailer",1
"Thomas Kluyver,Phil Elson",1
"Thomas Kluyver,Kyle Kelley",1
"W. Trevor King,Bussonnier Matthias",1
"VladMironov,Nathan Daly",1
"Yung Siang Liau,Blake Griffith",1
"Yanqing Dai,Jeremy Tuloup",1
"damianavila,Bussonnier Matthias",1
"damianavila,Jonathan Frederic",1
"damianavila,Matthias Bussonnier",1
"bxy007,Thomas Kluyver",1
"Brian Granger,Takafumi Arakaki",1
"Toon Baeyens,tobaeyen",1
"Tres DuBiel,Thomas Kluyver",1
"Victor Zverovich,Thomas Kluyver",1
"Vishnutheep B,Jeremy Tuloup",1
"Vivian Fang,Bernd Schwarzenbacher",1
"Thomas Spura,MinRK",1
"Thomas Kluyver,Simon Vurens",1
"Daniel Krenn,Paul Ivanov",1
"Christopher Wilcox,Min RK",1
"Carol Willing,Peter Parente",1
"Carol Willing,Matthias Bussonnier",1
"Brookie Guzder-Williams,Min RK",1
"Bussonnier Matthias,Nathan Heijermans",1
"Brian Granger,Thomas Kluyver",1
"ednut15,Joshua Zeltser",1
"fabihaahmed,ednut15",1
"epifanio,Brian E. Granger",1
"ednut15,韩韬",1
"fawce,Brian Granger",1
"hkshesht,sheshtawy",1
"David Neto,Min RK",1
"danagilliann,Rosa Swaby",1
"damianavila,Peter Parente",1
"Brian E. Granger,Paul Ivanov",1
"Brian E. Granger,Matthias Bussonnier",1
"Brian E. Granger,Jessica B. Hamrick",1
"Brian Granger,Min RK",1
"jhemmelg,Thomas Kluyver",1
"jslmann,Matthias Bussonnier",1
"jtpio,Nicolas Brichet",1
"jhemmelg,KesterTong",1
"jtpio,dependabot[bot]",1
"lmcdon14,Thomas Kluyver",1
"mcelrath,MinRK",1
"marcelo-ramires,Matthias Bussonnier",1
"michaelpacer,Carol Willing",1
"norah,Joshua Zeltser",1
"nsonnad,Nikhil S",1
"pre-commit-ci[bot],Nicolas Brichet",1
,
Committer Timezone Distribution,Unique Timezones: 23
Timezone,Commits
+00:00,1127
+01:00,1954
+02:00,1696
+03:00,44
+03:30,2
+05:00,1
+05:30,63
+06:00,2
+07:00,4
+08:00,42
+09:00,18
+09:30,2
+10:00,11
+11:00,5
+13:00,1
-02:00,2
-03:00,32
-04:00,427
-05:00,597
-06:00,192
-07:00,4516
-08:00,2873
-10:00,10
,
Contributors Experience,Average across 1723 files: 82.89%
File,Top Contributor Share (%)
IPython/frontend/html/notebook/notebook.py,100.00
IPython/frontend/html/notebook/static/css/nbbrowser.css,100.00
IPython/frontend/html/notebook/static/js/nbbrowser_main.js,100.00
IPython/frontend/html/notebook/static/js/header.js,100.00
IPython/frontend/html/notebook/static/js/login_main.js,100.00
docs/examples/notebooks/python-logo.svg,100.00
IPython/frontend/html/notebook/static/js/events.js,100.00
IPython/frontend/html/notebook/static/js/pagemain.js,100.00
IPython/frontend/html/notebook/static/css/alternate_uploadform.css,100.00
IPython/frontend/html/notebook/static/css/alternateuploadform.css,100.00
