Field,Value
Completion/Darwin/Command/_mdutil,100.00
Completion/Darwin/Command/_networksetup,100.00
Completion/Darwin/Command/_nvram,100.00
Completion/Darwin/Command/_open,51.28
Completion/Darwin/Command/_osascript,100.00
Completion/Darwin/Command/_otool,85.45
Completion/Darwin/Command/_pbcopy,100.00
Completion/Darwin/Command/_plutil,100.00
Completion/Darwin/Command/_qtplay,100.00
Completion/Darwin/Command/_say,100.00
Completion/Darwin/Command/_sc_usage,90.91
Completion/Darwin/Command/_scselect,100.00
Completion/Darwin/Command/_scutil,100.00
Completion/Darwin/Command/_shortcuts,100.00
Completion/Darwin/Command/_softwareupdate,54.71
Completion/Darwin/Command/_sw_vers,50.00
Completion/Darwin/Command/_system_profiler,83.33
Completion/Darwin/Command/_trash,100.00
Completion/Darwin/Command/_xcode-select,100.00
Completion/Darwin/Type/.distfiles,80.00
Completion/Darwin/Type/_mac_applications,92.98
Completion/Darwin/Type/_mac_files_for_application,97.40
Completion/Darwin/Type/_retrieve_mac_apps,50.34
Completion/Debian/.distfiles,83.33
Completion/Debian/Command/.distfiles,47.37
Completion/Debian/Command/_a2utils,92.31
Completion/Debian/Command/_apt,71.32
Completion/Debian/Command/_apt-file,49.11
Completion/Debian/Command/_apt-move,49.00
Completion/Debian/Command/_apt-show-versions,71.88
Completion/Debian/Command/_aptitude,62.05
Completion/Debian/Command/_auto-apt,73.08
Completion/Debian/Command/_axi-cache,80.56
Completion/Debian/Command/_bts,60.22
Completion/Debian/Command/_bug,37.55
Completion/Debian/Command/_cdbs-edit-patch,100.00
Completion/Debian/Command/_dak,91.18
Completion/Debian/Command/_dchroot,52.08
Completion/Debian/Command/_dchroot-dsa,84.85
Completion/Debian/Command/_dcut,98.16
Completion/Debian/Command/_debchange,77.08
Completion/Debian/Command/_debcheckout,100.00
Completion/Debian/Command/_debdiff,78.57
Completion/Debian/Command/_debfoster,47.94
Completion/Debian/Command/_deborphan,100.00
Completion/Debian/Command/_debsign,48.28
Completion/Debian/Command/_debsnap,100.00
Completion/Debian/Command/_debuild,100.00
Completion/Debian/Command/_dlocate,100.00
Completion/Debian/Command/_dpatch-edit-patch,100.00
Completion/Debian/Command/_dpkg,37.66
Completion/Debian/Command/_dpkg-buildpackage,96.55
Completion/Debian/Command/_dpkg-cross,100.00
Completion/Debian/Command/_dpkg-repack,87.50
Completion/Debian/Command/_dpkg_source,50.00
Completion/Debian/Command/_dput,88.07
Completion/Debian/Command/_dscverify,61.22
Completion/Debian/Command/_dupload,60.47
Completion/Debian/Command/_git-buildpackage,84.00
Completion/Debian/Command/_grep-excuses,100.00
Completion/Debian/Command/_invoke-rc.d,100.00
Completion/Debian/Command/_lighttpd,80.00
Completion/Debian/Command/_linda,96.30
Completion/Debian/Command/_lintian,92.04
Completion/Debian/Command/_madison,88.24
Completion/Debian/Command/_make-kpkg,73.68
Completion/Debian/Command/_members,100.00
Completion/Debian/Command/_mergechanges,71.43
Completion/Debian/Command/_module-assistant,51.28
Completion/Debian/Command/_pbuilder,84.21
Completion/Debian/Command/_piuparts,93.75
Completion/Debian/Command/_reprepro,84.34
Completion/Debian/Command/_sbuild,97.92
Completion/Debian/Command/_schroot,96.15
