Project Name,Author,Code Churn,Bug Fix Commit Count,Avg PR Merge Time (hours),Avg Issue Resolution Time (hours),Lead Time for Changes (hours),Code Churn per PR,Issue Re-opening Rate,Total Commits,Total PRs,Total Issues,Total Code Reviews,Total CI/CD Runs,CI/CD Success Rate,Total Deployments,Total Contributors
ColossalAI,Jiasen,5,1509,40.91129166666666,83.26543981481481,124.17673148148148,0.1612903225806451,48.67741935483871,1,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Jiatong (Julius) Han,10051,532677,40.91129166666666,83.26543981481481,124.17673148148148,0.9184867038289315,48.67741935483871,353,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Johannes H. Jensen,1,3018,40.91129166666666,83.26543981481481,124.17673148148148,0.01612903225806455,48.67741935483871,2,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Jonathan Argentiero,48,6036,40.91129166666666,83.26543981481481,124.17673148148148,0.38709677419354854,48.67741935483871,4,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Jui-min Lee,12,3018,40.91129166666666,83.26543981481481,124.17673148148148,0.1935483870967742,48.67741935483871,2,30,30,30,30,0.6666666666666666,0,30
ColossalAI,KAIYUAN GAN,1,1509,40.91129166666666,83.26543981481481,124.17673148148148,0.032258064516129,48.67741935483871,1,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Kai Lv,3,1509,40.91129166666666,83.26543981481481,124.17673148148148,0.0967741935483871,48.67741935483871,1,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Kai Wang (Victor Kai),-68,12072,40.91129166666666,83.26543981481481,124.17673148148148,-0.27419354838709675,48.67741935483871,8,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Kevin Backhouse,65,1509,40.91129166666666,83.26543981481481,124.17673148148148,2.096774193548387,48.67741935483871,1,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Kirigaya Kazuto,3104,21126,40.91129166666666,83.26543981481481,124.17673148148148,7.152073732718894,48.67741935483871,14,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Kirthi Shankar Sivamani,244,1509,40.91129166666666,83.26543981481481,124.17673148148148,7.870967741935484,48.67741935483871,1,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Kun Lin,1824,4527,40.91129166666666,83.26543981481481,124.17673148148147,19.612903225806452,48.67741935483871,3,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Lemon Qin,0,1509,40.91129166666666,83.26543981481481,124.17673148148148,0.0,48.67741935483871,1,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Li Xingjian,163,1509,40.91129166666666,83.26543981481481,124.17673148148148,5.258064516129032,48.67741935483871,1,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Liang Yiming,0,1509,40.91129166666666,83.26543981481481,124.17673148148148,0.0,48.67741935483871,1,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Liping233,-1,1509,40.91129166666666,83.26543981481481,124.17673148148148,-0.032258064516129,48.67741935483871,1,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Liu Ziming,6,4527,40.91129166666666,83.26543981481481,124.17673148148147,0.06451612903225803,48.67741935483871,3,30,30,30,30,0.6666666666666666,0,30
ColossalAI,LuGY,3028,54324,40.91129166666666,83.26543981481481,124.17673148148148,2.7132616487455197,48.67741935483871,36,30,30,30,30,0.6666666666666666,0,30
ColossalAI,LuGY_mac,207,1509,40.91129166666666,83.26543981481481,124.17673148148148,6.67741935483871,48.67741935483871,1,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Lufang Chen,0,1509,40.91129166666666,83.26543981481481,124.17673148148148,0.0,48.67741935483871,1,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Luke D Russell,0,1509,40.91129166666666,83.26543981481481,124.17673148148148,0.0,48.67741935483871,1,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Luo Yihang,0,1509,40.91129166666666,83.26543981481481,124.17673148148148,0.0,48.67741935483871,1,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Luxios22,-4,3018,40.91129166666666,83.26543981481481,124.17673148148148,-0.064516129032258,48.67741935483871,2,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Maruyama_Aya,6999,39234,40.91129166666666,83.26543981481481,124.17673148148148,8.68362282878412,48.67741935483871,26,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Michael Scott Cuthbert,313,15090,40.91129166666666,83.26543981481481,124.17673148148148,1.0096774193548388,48.67741935483871,10,30,30,30,30,0.6666666666666666,0,30
ColossalAI,MickeyCHAN,1,1509,40.91129166666666,83.26543981481481,124.17673148148148,0.032258064516129,48.67741935483871,1,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Mingyuan Xiang,490,18108,40.91129166666666,83.26543981481481,124.17673148148147,1.3172043010752688,48.67741935483871,12,30,30,30,30,0.6666666666666666,0,30
ColossalAI,MisterLin1995,595,3018,40.91129166666666,83.26543981481481,124.17673148148148,9.596774193548388,48.67741935483871,2,30,30,30,30,0.6666666666666666,0,30
ColossalAI,NatalieC323,133,9054,40.91129166666666,83.26543981481481,124.17673148148147,0.7150537634408601,48.67741935483871,6,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Nikita Shupeyko,0,1509,40.91129166666666,83.26543981481481,124.17673148148148,0.0,48.67741935483871,1,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Ofey Chan,14,10563,40.91129166666666,83.26543981481481,124.17673148148148,0.06451612903225803,48.67741935483871,7,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Orion-Zheng,0,1509,40.91129166666666,83.26543981481481,124.17673148148148,0.0,48.67741935483871,1,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Pascal Grange,369,3018,40.91129166666666,83.26543981481481,124.17673148148148,5.951612903225806,48.67741935483871,2,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Pengtai Xu,-60,7545,40.91129166666666,83.26543981481481,124.17673148148148,-0.3870967741935484,48.67741935483871,5,30,30,30,30,0.6666666666666666,0,30
ColossalAI,QinLuo,167,1509,40.91129166666666,83.26543981481481,124.17673148148148,5.387096774193548,48.67741935483871,1,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Richard Hattersley,0,9054,40.91129166666666,83.26543981481481,124.17673148148147,0.0,48.67741935483871,6,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Rocky Duan,0,1509,40.91129166666666,83.26543981481481,124.17673148148148,0.0,48.67741935483871,1,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Runyu Lu,6265,36216,40.91129166666666,83.26543981481481,124.17673148148147,8.420698924731182,48.67741935483871,24,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Saurav Maheshkar,8,4527,40.91129166666666,83.26543981481481,124.17673148148147,0.08602150537634407,48.67741935483871,3,30,30,30,30,0.6666666666666666,0,30
ColossalAI,ScalableEKNN,-11,1509,40.91129166666666,83.26543981481481,124.17673148148148,-0.3548387096774194,48.67741935483871,1,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Shawn-Kong,-4,4527,40.91129166666666,83.26543981481481,124.17673148148147,-0.04301075268817203,48.67741935483871,3,30,30,30,30,0.6666666666666666,0,30
