Project Name,Author,Total Commits,Total PRs,Avg PR Merge Time (hours),Total Issues,Avg Issue Resolution Time (hours),Total Code Reviews,Total CI/CD Runs,CI/CD Success Rate,Total Deployments,Total Contributors,Bug Fix Commit Count,log_defect_density,log_lead_time,log_code_churn,logit_failed_rate
nanoGPT,Luca Antiga,4,60,16.175555555555555,60,1.8314141414141407,30,0,0.9666666666666668,0,30,102,-5.288416052899946,2.890758888338709,-8.624748881224711,-3.367295829986478
nanoGPT,Lutz Roeder,1,30,16.175555555555555,30,1.8314141414141407,15,0,0.9666666666666668,0,30,51,2.322387720290225,2.890758888338709,-2.047692843365256,-3.367295829986478
nanoGPT,Mahesh,4,60,16.175555555555555,60,1.8314141414141407,30,0,0.9666666666666668,0,30,102,3.1271066765072755,2.890758888338709,-7.931601700664765,-3.367295829986478
nanoGPT,Mathieu Duponchelle,1,30,16.175555555555555,30,1.8314141414141407,15,0,0.9666666666666668,0,30,51,2.545531271604435,2.890758888338709,-2.3353749158170367,-3.367295829986478
nanoGPT,MicroPanda123,1,30,16.175555555555555,30,1.8314141414141407,15,0,0.9666666666666668,0,30,51,3.9318256327243257,2.890758888338709,-13.815510557964274,-3.367295829986478
nanoGPT,Oleksandr Kuvshynov,4,60,16.175555555555555,60,1.8314141414141407,30,0,0.9666666666666668,0,30,102,2.6893723078303253,2.890758888338709,-2.6292682482680965,-3.367295829986478
nanoGPT,Otavio Good,4,60,16.175555555555555,60,1.8314141414141407,30,0,0.9666666666666668,0,30,102,3.035945898110298,2.890758888338709,-3.0874136142051745,-3.367295829986478
nanoGPT,Ramtin Gharleghi,1,30,16.175555555555555,30,1.8314141414141407,15,0,0.9666666666666668,0,30,51,3.2386784521643803,2.890758888338709,-3.433987204485147,-3.367295829986478
nanoGPT,Saurabh Sameer,1,30,16.175555555555555,30,1.8314141414141407,15,0,0.9666666666666668,0,30,51,3.9318256327243257,2.890758888338709,-13.815510557964274,-3.367295829986478
nanoGPT,Sebastian Krzyszkowiak,1,30,16.175555555555555,30,1.8314141414141407,15,0,0.9666666666666668,0,30,51,3.9318256327243257,2.890758888338709,-13.815510557964274,-3.367295829986478
nanoGPT,Snehal Raj,1,30,16.175555555555555,30,1.8314141414141407,15,0,0.9666666666666668,0,30,51,3.9318256327243257,2.890758888338709,-13.815510557964274,-3.367295829986478
nanoGPT,Yassine Yousfi,4,60,16.175555555555555,60,1.8314141414141407,30,0,0.9666666666666668,0,30,102,-4.941842462619974,2.890758888338709,-13.815510557964274,-3.367295829986478
nanoGPT,johnwildauer,1,30,16.175555555555555,30,1.8314141414141407,15,0,0.9666666666666668,0,30,51,1.5339303599259553,2.890758888338709,-1.1314021114911006,-3.367295829986478
nanoGPT,kovkev,1,30,16.175555555555555,30,1.8314141414141407,15,0,0.9666666666666668,0,30,51,3.9318256327243257,2.890758888338709,-13.815510557964274,-3.367295829986478
nanoGPT,minjun,1,30,16.175555555555555,30,1.8314141414141407,15,0,0.9666666666666668,0,30,51,3.2386784521643803,2.890758888338709,-3.433987204485147,-3.367295829986478
nanoGPT,o,1,30,16.175555555555555,30,1.8314141414141407,15,0,0.9666666666666668,0,30,51,3.9318256327243257,2.890758888338709,-13.815510557964274,-3.367295829986478
nanoGPT,venusatuluri,1,30,16.175555555555555,30,1.8314141414141407,15,0,0.9666666666666668,0,30,51,3.9318256327243257,2.890758888338709,-13.815510557964274,-3.367295829986478
nanoGPT,ymurenko,1,30,16.175555555555555,30,1.8314141414141407,15,0,0.9666666666666668,0,30,51,3.2386784521643803,2.890758888338709,-3.433987204485147,-3.367295829986478
nanoGPT,リョウゼ,1,30,16.175555555555555,30,1.8314141414141407,15,0,0.9666666666666668,0,30,51,3.9318256327243257,2.890758888338709,-13.815510557964274,-3.367295829986478
node,Alexander Braverman Masis,1,30,152.89243464052288,30,77.44944444444445,30,30,0.9,0,30,20,2.995732273553991,5.439564636082659,-13.815510557964274,-2.1972245773362205
node,Andreas Reischuck,4,60,152.89243464052288,60,77.44944444444445,60,60,0.9,0,30,40,2.446426129219936,5.439564636082659,-8.278175290944738,-2.1972245773362205
node,Benjamin Schweizer,4,60,152.89243464052288,60,77.44944444444445,60,60,0.9,0,30,40,1.8971199848858813,5.439564636082659,-2.740840023925202,-2.1972245773362205
node,Coffee ☕️,1,30,152.89243464052288,30,77.44944444444445,30,30,0.9,0,30,20,2.995732273553991,5.439564636082659,-13.815510557964274,-2.1972245773362205
node,Corentin de Maupeou,1,30,152.89243464052288,30,77.44944444444445,30,30,0.9,0,30,20,1.0498221244986776,5.439564636082659,-1.6422277352570913,-2.1972245773362205
node,Danyal Prout,400,600,152.89243464052288,600,77.44944444444445,600,600,0.9,0,30,400,inf,5.439564636082659,-12.687770249154958,-2.1972245773362205
node,David Guillen Fandos,36,180,152.89243464052288,180,77.44944444444445,180,180,0.9,0,30,120,2.5235300495446213,5.43956463608266,-11.623158545344454,-2.1972245773362205
node,Dmitry,1,30,152.89243464052288,30,77.44944444444445,30,30,0.9,0,30,20,2.995732273553991,5.439564636082659,-13.815510557964274,-2.1972245773362205
node,Francis Bergin,9,90,152.89243464052288,90,77.44944444444445,90,90,0.9,0,30,60,inf,5.43956463608266,-5.625607492388082,-2.1972245773362205
node,Freekers,1,30,152.89243464052288,30,77.44944444444445,30,30,0.9,0,30,20,1.6094379124341003,5.439564636082659,-2.3353749158170367,-2.1972245773362205
node,Henri Devieux,64,240,152.89243464052288,240,77.44944444444445,240,240,0.9,0,30,160,2.752493504922077,5.439564636082659,-12.293850205125876,-2.1972245773362205
node,Ikko Eltociear Ashimine,1,30,152.89243464052288,30,77.44944444444445,30,30,0.9,0,30,20,2.995732273553991,5.439564636082659,-13.815510557964274,-2.1972245773362205
node,Jessie Rushing,1,30,152.89243464052288,30,77.44944444444445,30,30,0.9,0,30,20,2.995732273553991,5.439564636082659,-13.815510557964274,-2.1972245773362205
node,Jiatong (Julius) Han,9,90,152.89243464052288,90,77.44944444444445,90,90,0.9,0,30,60,1.3322547446277455,5.43956463608266,-2.008431831479795,-2.1972245773362205
node,Johns Gresham,1,30,152.89243464052288,30,77.44944444444445,30,30,0.9,0,30,20,1.8971199848858813,5.439564636082659,-2.740840023925202,-2.1972245773362205
node,Jonny Huxtable,1,30,152.89243464052288,30,77.44944444444445,30,30,0.9,0,30,20,2.995732273553991,5.439564636082659,-13.815510557964274,-2.1972245773362205
node,Marcos Antonio Maceo,1,30,152.89243464052288,30,77.44944444444445,30,30,0.9,0,30,20,-2.2874714551839976,5.439564636082659,1.844127454745371,-2.1972245773362205
node,Michael Scott Cuthbert,2116,1380,152.89243464052288,1380,77.44944444444445,1380,1380,0.9,0,30,920,inf,5.439564636082659,-6.722052729644327,-2.1972245773362205
node,Mihhail Sidorin,1,30,152.89243464052288,30,77.44944444444445,30,30,0.9,0,30,20,2.302585092994046,5.439564636082659,-3.433987204485147,-2.1972245773362205
node,Mukzid,1,30,152.89243464052288,30,77.44944444444445,30,30,0.9,0,30,20,1.8971199848858813,5.439564636082659,-2.740840023925202,-2.1972245773362205
node,Nobu,4,60,152.89243464052288,60,77.44944444444445,60,60,0.9,0,30,40,1.5235127839707707,5.439564636082659,-7.179563002276628,-2.1972245773362205
node,Public Profile,1,30,152.89243464052288,30,77.44944444444445,30,30,0.9,0,30,20,2.995732273553991,5.439564636082659,-13.815510557964274,-2.1972245773362205
node,Robert Kovacsics,256,480,152.89243464052288,480,77.44944444444445,480,480,0.9,0,30,320,0.45119711737820206,5.439564636082659,-10.235329609521786,-2.1972245773362205
node,Sergei Smolianinov,1,30,152.89243464052288,30,77.44944444444445,30,30,0.9,0,30,20,1.8971199848858813,5.439564636082659,-2.740840023925202,-2.1972245773362205
node,VolodymyrBg,1,30,152.89243464052288,30,77.44944444444445,30,30,0.9,0,30,20,1.8971199848858813,5.439564636082659,-2.740840023925202,-2.1972245773362205
