Project Name,Author,Total Commits,Total PRs,Total Issues,Total Code Reviews,Total CI/CD Runs,Total Deployments,Total Contributors,Bug Fix Commit Count,Defect Density (Bugs per LOC),Failed Build/Test Rate,Lead Time for Changes (hours),Deployment Frequency,Code Churn per PR,Issue Re-opening Rate,CI/CD Success Rate,Avg PR Merge Time (hours),Avg Issue Resolution Time (hours)
ColossalAI,Jianghai,3364,1740,1740,1740,1740,0,30,87522,94.01300322904369,0.3333333333333333,124.17673148148148,0.0,5.281423804226919,48.67741935483871,0.010849233071455293,0.6657842078189299,1.3550492450222387
ColossalAI,Jiasen,1,30,30,30,30,0,30,1509,251.5,0.3333333333333333,124.17673148148148,0.0,0.1612903225806451,48.67741935483871,0.00018705574261129818,0.011479038065843621,0.023362918017624808
ColossalAI,Jiatong (Julius) Han,124609,10590,10590,10590,10590,0,30,532677,inf,0.3333333333333333,124.17673148148148,0.0,0.9184867038289315,48.67741935483871,0.06603067714178824,4.052100437242798,8.247110060221557
ColossalAI,Johannes H. Jensen,4,60,60,60,60,0,30,3018,-565.875,0.3333333333333333,124.17673148148148,0.0,0.01612903225806455,48.67741935483871,0.00037411148522259637,0.022958076131687242,0.046725836035249615
ColossalAI,Jonathan Argentiero,16,120,120,120,120,0,30,6036,135.65201204271978,0.3333333333333333,124.17673148148148,0.0,0.38709677419354854,48.67741935483871,0.0007482229704451927,0.045916152263374484,0.09345167207049923
ColossalAI,Jui-min Lee,4,60,60,60,60,0,30,3018,812.5384615384615,0.3333333333333333,124.17673148148148,0.0,0.1935483870967742,48.67741935483871,0.00037411148522259637,0.022958076131687242,0.046725836035249615
ColossalAI,KAIYUAN GAN,1,30,30,30,30,0,30,1509,754.5,0.3333333333333333,124.17673148148148,0.0,0.032258064516129,48.67741935483871,0.00018705574261129818,0.011479038065843621,0.023362918017624808
ColossalAI,Kai Lv,1,30,30,30,30,0,30,1509,377.25,0.3333333333333333,124.17673148148148,0.0,0.0967741935483871,48.67741935483871,0.00018705574261129818,0.011479038065843621,0.023362918017624808
ColossalAI,Kai Wang (Victor Kai),64,240,240,240,240,0,30,12072,inf,0.3333333333333333,124.17673148148148,0.0,-0.27419354838709675,48.67741935483871,0.0014964459408903855,0.09183230452674897,0.18690334414099846
ColossalAI,Kevin Backhouse,1,30,30,30,30,0,30,1509,22.863636363636363,0.3333333333333333,124.17673148148148,0.0,2.096774193548387,48.67741935483871,0.00018705574261129818,0.011479038065843621,0.023362918017624808
