Field,Value
"Fabien Maussion,Eric Firing",2
"Scott Shambaugh,LemonBoy",2
"Salil Vanvari,Elliott Sales de Andrade",2
"Ryan May,nemanja",2
"Ryan May,Manuel Metz",2
"Antony Lee,andrzejnovak",2
"Antony Lee,Yong Cho Yin",2
"Antony Lee,Thomas Hisch",2
"Ruth Comer,Lucx33",2
"Ruth Comer,Elliott Sales de Andrade",2
"Richard Sheridan,richardsheridan",2
"ResidentMario,hannah",2
"Ratnabali Dutta,Oscar Gustafsson",2
"Ratnabali Dutta,Kyle Sunden",2
"Raphael,Raphael Quast",2
"Frank Yu,Benjamin Root",2
"Fernando Perez,Eric Firing",2
"QiCuiHub,btang02",2
"Anubhav Shrimal,MeeseeksMachine",2
"Antony Lee,yeo",2
"Antony Lee,tillsten",2
"Antony Lee,myyc",2
"Antony Lee,luz.paz",2
"Photoniker,Johann Krauter",2
"Phil Elson,Nelle Varoquaux",2
"Peter Iannucci,Elliott Sales de Andrade",2
"Pete Peterson,Thomas A Caswell",2
"Pete Huang,Thomas A Caswell",2
"Pete Huang,David Stansby",2
"David Stansby,patniharshit",2
"David Stansby,Scott Shambaugh",2
"David Stansby,Ryan",2
"Paul Ivanov,Damon McDougall",2
"Paul Hobson,Naoya Kanai",2
"Paul Hobson,Michael Droettboom",2
"Paul Hobson,Eric Firing",2
"Paul Hobson,Antony Lee",2
"Paul,Antony Lee",2
"Oscar Gustafsson,trananso",2
"Oscar Gustafsson,saranti",2
"Oscar Gustafsson,hannah",2
"Oscar Gustafsson,Stefanie Molin",2
"Oscar Gustafsson,Ratnabali Dutta",2
"Oscar Gustafsson,MeeseeksMachine",2
"Haoying Zhang,Oscar Gustafsson",2
"Grégory Lielens,John Hunter",2
"Greg Lucas,Ruth Comer",2
"Augusto Borges,Ruth Comer",2
"Atharva Khare,Thomas A Caswell",2
"Benjamin Root,Elliott Sales de Andrade",2
"Benjamin Congdon,Daniel C. Marcu",2
"Benjamin Bengfort,Jody Klymak",2
"Nikita Kniazev,Elliott Sales de Andrade",2
"Nikita Kniazev,Antony Lee",2
"Nicolas P. Rougier,Nelle Varoquaux",2
"Nickolaos Giannatos,Anna Mastori",2
"Nelle Varoquaux,Tim Hoffmann",2
"Nelle Varoquaux,Damon McDougall",2
"Nelle Varoquaux,Chris Holdgraf",2
"Neil,Christoph Gohlke",2
"Nathan Musoke,Elliott Sales de Andrade",2
"Mykola Dvornik,Elliott Sales de Andrade",2
"Ian Hunt-Isaak,ianhi",2
"Ian Hunt-Isaak,Tim Hoffmann",2
"Ian Hunt-Isaak,Elliott Sales de Andrade",2
"Moritz Boehle,chelseatroy",2
"Min RK,Thomas A Caswell",2
"Mike Kaufman,Jae-Joon Lee",2
"Mike Jarvis,Eric Firing",2
"Michael Welter,Michael Droettboom",2
"Blaise Thompson,Antony Lee",2
"Bingyao Liu,Jody Klymak",2
"Big Data Tech. Lab 이태훈,Antony Lee",2
"Benjamin Root,Matthew Brett",2
"Benjamin Root,Jens Hedegaard Nielsen",2
"Michael Droettboom,Sameer D'Costa",2
"Michael Droettboom,Robert Johansson",2
"Michael Droettboom,Paul Ivanov",2
"Michael Droettboom,Paul Hobson",2
"Michael Droettboom,Nic Eggert",2
"Michael Droettboom,Joel B. Mohler",2
"David Stansby,Eric Firing",2
"Ian Thomas,Thomas A Caswell",2
"CJ Carey,Michael Droettboom",2
"Bussonnier Matthias,Thomas A Caswell",2
"Bruno Beltran,Tim Hoffmann",2
"Michael Droettboom,David Kaplan",2
"Michael Droettboom,Daniel Hyams",2
"Michael Droettboom,Damon McDougall",2
"Michael Droettboom,Christoph Gohlke",2
"Michael Droettboom,Andrew Straw",2
"Melissa Weber Mendonça,melissawm",2
"Melissa Weber Mendonça,hannah",2
"Jae-Joon Lee,Andrew Straw",2
"ItsRLuo,Elliott Sales de Andrade",2
