Field,Value
"Gabriel Radanne,Hugo Heuzard",2
"octachron,alainfrisch",2
"octachron,Hugo Heuzard",2
"Anil Madhavapeddy,Xavier Leroy",2
"Antonin Décimo,Damien Doligez",2
"iOS Porting Team,EduardoRFS",2
"jake-87,j",2
"Gabriel Scherer,Antonin Décimo",2
"Gabriel Scherer,Armaël Guéneau",2
"Gabriel Scherer,Daniel Bünzli",2
"Gabriel Scherer,Daniel Hillerström",2
"Gabriel Scherer,Demi Obenour",2
"favonia,David Allsopp",2
"hhugo,Hugo Heuzard",2
"alainfrisch,octachron",2
"damiendoligez,Damien Doligez",2
"doligez,François Bobot",2
"alainfrisch,Jeremie Dimino",2
"alainfrisch,Jeremy Yallop",2
"alainfrisch,Max Mouratov",2
"alainfrisch,Xavier Leroy",2
"Antonin Décimo,Leo White",2
"François Bobot,Mark Shinwell",2
"François Bobot,Xavier Leroy",2
"Antonin Décimo,Miod Vallat",2
"Xavier Leroy,Thomas Refis",2
"Xavier Leroy,Wojciech Meyer",2
"Xavier Leroy,iOS Porting Team",2
"Antonin Décimo,Vincent Laviron",2
"Antonin Décimo,Xavier Leroy",2
"Antonin Décimo,eutro",2
"Antonio Nuno Monteiro,Issam Maghni",2
"Xavier Leroy,Jan Midtgaard",2
"Xavier Leroy,Jeremie Dimino",2
"Xavier Leroy,Jeremy Yallop",2
"Xavier Leroy,Matthew Ryan",2
"Antonin Décimo,Seb Hinderer",2
"Xavier Leroy,Antonin Décimo",2
"Xavier Leroy,Chris Casinghino",2
"Xavier Leroy,Fabrice Le Fessant",2
"Gabriel Scherer,Stefan Muenzel",2
"Fourchaux,Xavier Leroy",2
"Gabriel Scherer,Greta Yorsh",2
"Gabriel Scherer,Hongbo Zhang",2
"Gabriel Scherer,Hugo Heuzard",2
"Gabriel Scherer,John Whitington",2
"Gabriel Scherer,Kate",2
"Wojciech Meyer,Xavier Leroy",2
"Wojciech Meyer,Alain Frisch",2
"Wojciech Meyer,Damien Doligez",2
"Vincent Laviron,Hugo Heuzard",2
"Vincent Laviron,Stephen Dolan",2
"Vincent Laviron,Takafumi Saikawa",2
"Vincent Laviron,Daniel Bünzli",2
"Bernhard Schommer,Gabriel Scherer",2
"Bernhard Schommer,chrismamo1",2
"Bernhard Schommer,octachron",2
"Gabriel Scherer,Miod Vallat",2
"Gabriel Scherer,Richard Eisenberg",2
"Gabriel Scherer,Runhang Li",2
"Török Edwin,Nicolas Ojeda Bar",2
"Valentin Gatien-Baron,Gabriel Scherer",2
"Tom Kelly,Anil Madhavapeddy",2
"Tom Kelly,Damien Doligez",2
"Tom Kelly,octachron",2
"Tõivo Leedjärv,Konstantin Romanov",2
"Tõivo Leedjärv,Sébastien Hinderer",2
"Tim McGilchrist,David Allsopp",2
"Tim McGilchrist,Gabriel Scherer",2
"Tim McGilchrist,Jan Midtgaard",2
"Chris Casinghino,Takafumi Saikawa",2
"Christiana Anthony,Hyunggyu Jang",2
"Takafumi Saikawa,Nick Roberts",2
"Thomas Braibant,Damien Doligez",2
"Thomas Refis,Armaël Guéneau",2
"Thomas Refis,Drup",2
"Sébastien Hinderer,Simon Fowler",2
"Sébastien Hinderer,Tom Kelly",2
"Sébastien Hinderer,Tõivo Leedjärv",2
"Sébastien Hinderer,Xavier Clerc",2
"Sébastien Hinderer,comex",2
"Sébastien Hinderer,favonia",2
"Sébastien Hinderer,whitequark",2
"Sébastien Hinderer,Mark Shinwell",2
"Christophe Troestler,Xavier Leroy",2
"Gabriel Scherer,Takafumi Saikawa",2
"Gabriel Scherer,Tim McGilchrist",2
"Gabriel Scherer,objmagic",2
"Damien Doligez,Armaël Guéneau",2
"Sudha Parimala,Tom Kelly",2
"Sébastien Hinderer,JPR",2
"Stephen Dolan,Vincent Laviron",2
"Damien Doligez,Bernhard Schommer",2
"Damien Doligez,Daniel de Rauglaudre",2
"Damien Doligez,Didier Rémy",2
"Damien Doligez,Jacques-Henri Jourdan",2
"Stephen Dolan,Guillaume Munch-Maccagnoni",2
"Stephen Dolan,Sadiq Jaffer",2
"Stephen Dolan,Antonin Décimo",2
"Stephen Dolan,Daniel Bünzli",2
"Damien Doligez,Jérémie Dimino",2
"Guillaume Munch-Maccagnoni,Max Slater",2
"Guillaume Munch-Maccagnoni,Nick Roberts",2
"Florian Angeletti,hhugo",2
"Damien Doligez,Maxence Guesdon",2
"Spiros Eliopoulos,Jeremie Dimino",2
"Stefan Muenzel,Nick Barnes",2
"Stefan Muenzel,Thomas Refis",2
"Seb Hinderer,David Allsopp",2
"Seb Hinderer,Richard Eisenberg",2
"Seb Hinderer,Vincent Laviron",2
"Sadiq Jaffer,Ulysse Gérard",2
"Samuel Hym,Tim McGilchrist",2
"Damien Doligez,Thomas Refis",2
"Damien Doligez,alainfrisch",2
"Runhang Li,Jeremie Dimino",2
"Sadiq Jaffer,David Allsopp",2
"Hannes Mehnert,Gabriel Scherer",2
"Greta Yorsh,Gabriel Scherer",2
"Damien Doligez,damiendoligez",2
"Damien Doligez,octachron",2
"Daniel Bünzli,Florian Angeletti",2
"Daniel Bünzli,Joan Thibault",2
"Romain Beauxis,Samuel Thibault",2
"Richard Bonichon,pierreweis",2
"Richard Eisenberg,Antonin Décimo",2
"Richard Eisenberg,Gabriel Scherer",2
"Richard W.M. Jones,Gabriel Scherer",2
"Pierre Weis,Jun FURUSE / 古瀬 淳",2
"Pierre Weis,Jérôme Vouillon",2
"Pierre Weis,Nicolas Pouillard",2
"Raja Boujbel,Gabriel Scherer",2
"Rich Neswold,Xavier Leroy",2
"Pierre Chambart,Leo White",2
"Guillaume Munch-Maccagnoni,Nicolás Ojeda Bär",2
"Guillaume Munch-Maccagnoni,Tom Kelly",2
"Guillaume Munch-Maccagnoni,Xavier Leroy",2
"Guillaume Petiot,Leo White",2
"Pierre Chambart,Xavier Clerc",2
"Pierre Chambart,alainfrisch",2
"Olivier Nicole,Miod Vallat",2
"Daniel Bünzli,Vincent Laviron",2
"Daniel Bünzli,Vladimir Keleshev",2
"Olivier Nicole,Vincent Laviron",2
"Olivier Andrieu,David Allsopp",2
"Olivier Nicole,Antonin Décimo",2
"Olivier Nicole,Florian Angeletti",2
"Olivier Nicole,Gabriel Scherer",2
"David Allsopp,Hongbo Zhang",2
"Nicolás Ojeda Bär,Guillaume Munch-Maccagnoni",2
"Nicolás Ojeda Bär,Jacques-Henri Jourdan",2
"Nicolás Ojeda Bär,Jeremy Yallop",2
"Nicolás Ojeda Bär,Jules Aguillon",2
"Florian Angeletti,Vincent Laviron",2
